;Unnamed: 0;header_stamp_secs;pose_position_x;pose_position_y;pose_position_z;seconds;drop_values;flight_number;label;dtw
0;0;1449486552;2.13476490974;0.805361568928;0.0683316811919;0;True;13;2;173.7183526158546
1;1;1449486552;2.13470435143;0.8061922192569999;0.0683918297291;0;True;13;2;173.7183526158546
2;2;1449486552;2.1346654891999997;0.8058801293369999;0.0684902817011;0;True;13;2;173.7183526158546
3;3;1449486552;2.13469290733;0.805683970451;0.06835602223869999;0;True;13;2;173.7183526158546
4;4;1449486552;2.13477563858;0.805835962296;0.0682669207454;0;True;13;2;173.7183526158546
5;5;1449486552;2.13463902473;0.805733501911;0.0685101896524;0;True;13;2;173.7183526158546
6;6;1449486552;2.1347124576599996;0.8057472705840001;0.068390570581;0;True;13;2;173.7183526158546
7;7;1449486552;2.13471841812;0.805781245232;0.0683673545718;0;True;13;2;173.7183526158546
8;8;1449486552;2.13479042053;0.805832445621;0.06819185614590001;0;True;13;2;173.7183526158546
9;9;1449486552;2.1347353458400002;0.805697619915;0.0682943463326;0;True;13;2;173.7183526158546
10;10;1449486552;2.134578228;0.805527150631;0.068573705852;0;True;13;2;173.7183526158546
11;11;1449486553;2.1346056461300003;0.8057873845100001;0.0684796124697;1;True;13;2;173.7183526158546
12;12;1449486553;2.13467502594;0.805881619453;0.0684694871306;1;True;13;2;173.7183526158546
13;13;1449486553;2.1347513198900003;0.805777430534;0.0682454556227;1;True;13;2;173.7183526158546
14;14;1449486553;2.1346745491;0.80567419529;0.0684308186173;1;True;13;2;173.7183526158546
15;15;1449486553;2.13479566574;0.806026279926;0.0682248845696;1;True;13;2;173.7183526158546
16;16;1449486553;2.13460993767;0.8054332733149999;0.0684770718217;1;True;13;2;173.7183526158546
17;17;1449486553;2.1347255706799997;0.805656552315;0.0683928951621;1;True;13;2;173.7183526158546
18;18;1449486553;2.1348388195;0.806100904942;0.0681779906154;1;True;13;2;173.7183526158546
19;19;1449486553;2.13462805748;0.8057074546809999;0.06839907169340001;1;True;13;2;173.7183526158546
20;20;1449486553;2.13471841812;0.805771231651;0.0683702453971;1;True;13;2;173.7183526158546
21;21;1449486553;2.1347591877000003;0.8057139515880001;0.0683263465762;1;True;13;2;173.7183526158546
22;22;1449486553;2.13471198082;0.805706977844;0.06833633035419999;1;True;13;2;173.7183526158546
23;23;1449486553;2.13471364975;0.806002855301;0.0684339031577;1;True;13;2;173.7183526158546
24;24;1449486553;2.13475775719;0.805660188198;0.0682421326637;1;True;13;2;173.7183526158546
25;25;1449486553;2.1347053051;0.8056821227069999;0.0683402940631;1;True;13;2;173.7183526158546
26;26;1449486553;2.13469696045;0.805718183517;0.06832724064590001;1;True;13;2;173.7183526158546
27;27;1449486553;2.13467097282;0.805683732033;0.0684568807483;1;True;13;2;173.7183526158546
28;28;1449486553;2.13469791412;0.8056439161300001;0.06842685490849999;1;True;13;2;173.7183526158546
29;29;1449486553;2.1346487999;0.8054536581039999;0.0684635490179;1;True;13;2;173.7183526158546
30;30;1449486553;2.13475704193;0.805909097195;0.0683305412531;1;True;13;2;173.7183526158546
31;31;1449486553;2.1346023082700003;0.805729210377;0.06850148737430001;1;True;13;2;173.7183526158546
32;32;1449486553;2.13482737541;0.8057153820990001;0.068101093173;1;True;13;2;173.7183526158546
33;33;1449486553;2.13465237617;0.805886685848;0.0684704184532;1;True;13;2;173.7183526158546
34;34;1449486553;2.1346774101299997;0.805706679821;0.0683210045099;1;True;13;2;173.7183526158546
35;35;1449486553;2.13463306427;0.8056623935699999;0.0683733969927;1;True;13;2;173.7183526158546
36;36;1449486553;2.1347181797;0.805656552315;0.0684167444706;1;True;13;2;173.7183526158546
37;37;1449486553;2.13463020325;0.805671572685;0.06850566715;1;True;13;2;173.7183526158546
38;38;1449486553;2.1347987651800002;0.805626571178;0.06818519532680001;1;True;13;2;173.7183526158546
39;39;1449486553;2.1348221302;0.8057664036750001;0.0682172179222;1;True;13;2;173.7183526158546
40;40;1449486553;2.1346640586900003;0.805555820465;0.0684226155281;1;True;13;2;173.7183526158546
