;Unnamed: 0;header_stamp_secs;pose_position_x;pose_position_y;pose_position_z;seconds;drop_values;flight_number;label;dtw
0;0;1449486697;2.1435091495500003;0.744450688362;0.0692531391978;0;True;14;1;7.314751147879995
1;1;1449486697;2.14340853691;0.744176447392;0.06937292963269999;0;True;14;1;7.314751147879995
2;2;1449486697;2.14348363876;0.744608461857;0.06933496147389999;0;True;14;1;7.314751147879995
3;3;1449486697;2.14352560043;0.744496405125;0.0692486986518;0;True;14;1;7.314751147879995
4;4;1449486697;2.14361691475;0.744550704956;0.0692905187607;0;True;14;1;7.314751147879995
5;5;1449486697;2.14357447624;0.744421243668;0.06913490593430001;0;True;14;1;7.314751147879995
6;6;1449486697;2.14356708527;0.7445265650749999;0.0692207068205;0;True;14;1;7.314751147879995
7;7;1449486698;2.14350485802;0.7445667386049999;0.0692825615406;1;True;14;1;7.314751147879995
8;8;1449486698;2.1436235904700003;0.7443755865100001;0.0691215321422;1;True;14;1;7.314751147879995
9;9;1449486698;2.14358901978;0.7445237040520001;0.0693052858114;1;True;14;1;7.314751147879995
10;10;1449486698;2.14348626137;0.7447514534;0.06920593976969999;1;True;14;1;7.314751147879995
11;11;1449486698;2.1434473991400003;0.7444180250169999;0.0692776665092;1;True;14;1;7.314751147879995
12;12;1449486698;2.14358711243;0.744516134262;0.0692668110132;1;True;14;1;7.314751147879995
13;13;1449486698;2.14354658127;0.744552254677;0.0692749395967;1;True;14;1;7.314751147879995
14;14;1449486698;2.1434597969099998;0.744937539101;0.0691879689693;1;True;14;1;7.314751147879995
15;15;1449486698;2.14356946945;0.7445617318150001;0.0691765248775;1;True;14;1;7.314751147879995
16;16;1449486698;2.14347577095;0.744498133659;0.0693821385503;1;True;14;1;7.314751147879995
17;17;1449486698;2.14349222183;0.744391560555;0.06930579245089999;1;True;14;1;7.314751147879995
18;18;1449486698;2.14350652695;0.7445960044859999;0.0693463161588;1;True;14;1;7.314751147879995
19;19;1449486698;2.1436324119599997;0.7445768117899999;0.06929718703030001;1;True;14;1;7.314751147879995
20;20;1449486698;2.1432750225099997;0.744710743427;0.06932834535839999;1;True;14;1;7.314751147879995
21;21;1449486698;2.1433486938499997;0.744869530201;0.06924880295989999;1;True;14;1;7.314751147879995
22;22;1449486698;2.14357089996;0.7445436120029999;0.06924436241389999;1;True;14;1;7.314751147879995
23;23;1449486698;2.14356565475;0.744533717632;0.06926628947260001;1;True;14;1;7.314751147879995
24;24;1449486698;2.14347982407;0.744447946548;0.06931187957530001;1;True;14;1;7.314751147879995
25;25;1449486698;2.1435451507599996;0.744502484798;0.06935022771360001;1;True;14;1;7.314751147879995
26;26;1449486698;2.14352846146;0.744326531887;0.0693108811975;1;True;14;1;7.314751147879995
27;27;1449486698;2.14350676537;0.744272649288;0.06933273375030001;1;True;14;1;7.314751147879995
28;28;1449486698;2.14349389076;0.744331181049;0.06932263076310001;1;True;14;1;7.314751147879995
29;29;1449486698;2.1436562538099997;0.744889438152;0.06917344033719999;1;True;14;1;7.314751147879995
30;30;1449486698;2.1434655189500003;0.744863450527;0.0687974914908;1;True;14;1;7.314751147879995
31;31;1449486698;2.14355015755;0.744486927986;0.0692957416177;1;True;14;1;7.314751147879995
32;32;1449486698;2.1435170173599998;0.7444432377820001;0.0693290755153;1;True;14;1;7.314751147879995
33;33;1449486698;2.14298677444;0.7447556257250001;0.06879445910450001;1;True;14;1;7.314751147879995
34;34;1449486698;2.14351820946;0.74426150322;0.0693725571036;1;True;14;1;7.314751147879995
35;35;1449486698;2.14363622665;0.744870245457;0.0692114084959;1;True;14;1;7.314751147879995
36;36;1449486698;2.1436285972599998;0.744426310062;0.0691519454122;1;True;14;1;7.314751147879995
37;37;1449486698;2.1435992717700003;0.744555175304;0.0692950859666;1;True;14;1;7.314751147879995
38;38;1449486698;2.14356184006;0.74461722374;0.069276124239;1;True;14;1;7.314751147879995
