;Unnamed: 0;header_stamp_secs;pose_position_x;pose_position_y;pose_position_z;seconds;drop_values;flight_number;label;dtw
0;0;1449486979;2.33924436569;0.66992264986;0.07225957512860001;0;True;16;1;83.57199258730121
1;1;1449486979;2.33965396881;0.66979020834;0.072194442153;0;True;16;1;83.57199258730121
2;2;1449486979;2.3390030860900004;0.66986566782;0.071795322001;0;True;16;1;83.57199258730121
3;3;1449486979;2.33956027031;0.670253515244;0.0721335560083;0;True;16;1;83.57199258730121
4;4;1449486979;2.33862042427;0.6706106066699999;0.0720687359571;0;True;16;1;83.57199258730121
5;5;1449486979;2.33972907066;0.670117735863;0.0722051337361;0;True;16;1;83.57199258730121
6;6;1449486979;2.33858799934;0.6708629727359999;0.0718480199575;0;True;16;1;83.57199258730121
7;7;1449486979;2.3395435810099996;0.6697173118590001;0.07218887656930001;0;True;16;1;83.57199258730121
8;8;1449486979;2.33938312531;0.670260608196;0.0721243917942;0;True;16;1;83.57199258730121
9;9;1449486979;2.33967494965;0.670114517212;0.0721620842814;0;True;16;1;83.57199258730121
10;10;1449486979;2.33905935287;0.670379459858;0.0721417069435;0;True;16;1;83.57199258730121
11;11;1449486979;2.33927726746;0.670105338097;0.07207802683119999;0;True;16;1;83.57199258730121
12;12;1449486979;2.33939790726;0.669943332672;0.0720532611012;0;True;16;1;83.57199258730121
13;13;1449486979;2.33875513077;0.6701804995539999;0.0726110264659;0;True;16;1;83.57199258730121
14;14;1449486979;2.3393399715400003;0.6697288155560001;0.072051808238;0;True;16;1;83.57199258730121
15;15;1449486979;2.33892846107;0.6702203154559999;0.07242647558450001;0;True;16;1;83.57199258730121
16;16;1449486979;2.33930420876;0.670075058937;0.07200630009169999;0;True;16;1;83.57199258730121
17;17;1449486979;2.33921003342;0.670561611652;0.072115778923;0;True;16;1;83.57199258730121
18;18;1449486979;2.33854079247;0.670374572277;0.0718281790614;0;True;16;1;83.57199258730121
19;19;1449486979;2.3381626606;0.670002758503;0.07215505838389999;0;True;16;1;83.57199258730121
20;20;1449486979;2.33937048912;0.670087099075;0.0720573589206;0;True;16;1;83.57199258730121
21;21;1449486979;2.33925056458;0.670153856277;0.072153352201;0;True;16;1;83.57199258730121
22;22;1449486979;2.3384215831799997;0.670409858227;0.0720365792513;0;True;16;1;83.57199258730121
23;23;1449486979;2.33936214447;0.670058906078;0.0722121819854;0;True;16;1;83.57199258730121
24;24;1449486979;2.33964204788;0.670268714428;0.0727975070477;0;True;16;1;83.57199258730121
25;25;1449486979;2.33964824677;0.670170903206;0.072156637907;0;True;16;1;83.57199258730121
26;26;1449486979;2.33971571922;0.670069694519;0.0721396505833;0;True;16;1;83.57199258730121
27;27;1449486979;2.33968520164;0.670060992241;0.0721118077636;0;True;16;1;83.57199258730121
